video_ID,group,text
-_Cw5A9gBiM,Политические,"Почему Соболь перестаёт кривляться и всячески наигрывать ненастоящие эмоции , когда она берёт интервью?"
-_Cw5A9gBiM,Политические,"Формат отличный. Нужно продолжать и сделать такие выпуски про остальные институции. Суды, образование, медицину, про то какой должна быть полиция здорового человека. А еще про отношение к природе, науку и спорт. Очень надеюсь своими глазами увидеть прекрасную Россию будущего, ради этого стоит следить за здоровьем, чтобы подольше прожить!"
-_Cw5A9gBiM,Политические,Дальше трёх минут не стал смотреть. Утопия какая-то.
-_Cw5A9gBiM,Политические,Одних сионистских прихвостней на других?
-_Cw5A9gBiM,Политические,Прикольно. И гости очень интересные.
-_Cw5A9gBiM,Политические,"Умничка, Люба, спасибо за интересную работу!"
-_Cw5A9gBiM,Политические,Тимченко крута!
-_Cw5A9gBiM,Политические,Неужто есть ктото кроме Навального на канале? Шаг вперед!
-_Cw5A9gBiM,Политические,"Люба, хороший выпуск! Спасибо за такие видео! Ждём новый выпуск!"
-_Cw5A9gBiM,Политические,Алиса Сметнёва вам сказать нечего? Всякую ересть несёте.
-_Cw5A9gBiM,Политические,"Люба, СМИ всегда будут говорить то, что хочет Власть. Кто заказывает музыку, тот девушку и танцует. Нужно нормальное Народовластие, это когда глава государства не назначает губернаторов, а наоборот губернаторы из себя выбирают главу государства. Губернаторов в свою очередь выбирают мэры, мэров - главы районов, глав района выбирают ответственные люди на местах, каждый из которых отвечает за свою маленькую территорию."
-_Cw5A9gBiM,Политические,Свободных сми в монархии нет и быть не может.
-_Cw5A9gBiM,Политические,спасибо.
-_Cw5A9gBiM,Политические,Замечательное. Спасибо!
-_Cw5A9gBiM,Политические,Люба.
-_Cw5A9gBiM,Политические,Обнуленный смузи поперхнулся.
-_Cw5A9gBiM,Политические,Не убий. Не укради. Не пожелай жены ближего своего. И бла-бла-бла!
-_Cw5A9gBiM,Политические,"Отличный формат. Надо готовить нас к адекватному положению вещей и просвещать. Конечно можно самому разобраться в структуре и принципах работы СМИ, но усвоить информацию об этом в таком кратком и конструктивном материале гораздо удобнее. Особенно приятно было увидеть и услышать мнение Пивоварова и Парфёнова."
-_Cw5A9gBiM,Политические,"Боже мой, какие вы все милые Хитрые и подлые! Это РФ! Вам просто денег захотелось, вот и всё! Узнали какие деньги получают главные каналы и то же хочется быть в шоколаде?! Просто скажите что обидно и всё. Будут покупать всех и всё! Лишь бы не показывать правду."
-_Cw5A9gBiM,Политические,мечты мечты!
-_Cw5A9gBiM,Политические,"Скорее бы все было так как они рассказывают, а не вот это вот все."
-_Cw5A9gBiM,Политические,Классный формат! Интересно было услышать в одном выпуске мнения таких известных людей в сфере журналистики.
-_Cw5A9gBiM,Политические,"Все правильно, конкуренция и независимые суды неизбежно повлекут за собой естественное обновление институтов СМИ."
-_Cw5A9gBiM,Политические,"Не затронут вопрос владения иностранцами, сейчас это 20, насколько я помню."
-_Cw5A9gBiM,Политические,"С какими ты людьми общаешься, Люба. Они искрят идеями ,. огромный опыт у каждого."
-_Cw5A9gBiM,Политические,"Соболь не похожа на человека угнетаемого, затасконного по судам из-за штрафов. Модно одета, видно что денег в свой внешний вид вкладывает не мало, пользуется. Меня это заставляет задуматься."
-_Cw5A9gBiM,Политические,"Это очень важная тема, спасибо, что Вы её поднимаете. СМИ имеют огромную власть, а ведь их руководство никто не выбирает. СМИ, могут оказаться в руках олигархов и с помощью их, они будут управлять страной, как это происходит на в Украине. Позвольте высказать своё мнение, должно быть несколько крупных государственных медиа - холдингов, владеющих, теле и радио компаниями, а также печатными изданиями. Их руководство должно выбираться всеми гражданами. Частные СМИ не должны принадлежать олигархам, человек, владеющий СМИ, не должен иметь другой бизнес, как и члены его семьи какой нибудь салон красоты или ресторан, можно позволить, но не более."
-_Cw5A9gBiM,Политические,"Жаль, когда грамотные, интересные, люди, проявляют вопиющее невежество в ключевых понятиях современного языка."
-_Cw5A9gBiM,Политические,"Пора отписываться, какая чушь."
-_Cw5A9gBiM,Политические,"путин жил, путин жив, путин будет жить вечно! А мы все попадем скоро в рай."
-_Cw5A9gBiM,Политические,Должны быть независимые от гос. управленцев СМИ на основе информационной конкуренции. Точка.
-_Cw5A9gBiM,Политические,"Любовь, отличный формат. Просьба- работайте над речью! Когда идет превью- вы говорите почему-то странным голосом. Когда вы с людьми говорите- у вас сразу голос человеческий становится. Переслушайте, вы сами все поймете. Просто будьте человеком, а то уже чиновник пробуждается."
-_Cw5A9gBiM,Политические,Отличный выпуск! Продолжайте.
-_Cw5A9gBiM,Политические,Отличный новый формат. Ждём новых выпусков. В таком формате много тем можно поднимать.
-_Cw5A9gBiM,Политические,"А ведь классный формат нашли , несмотря на то что Любовь Эдуардовна не журналист по образованию, вышло достаточно интересно, но немного коротко, как мне показалось. Но так как это первая из серии фильмов, то будем ждать продолжения с нетерпением и надеяться, что дальше будет не хуже."
-_Cw5A9gBiM,Политические,"Жумайсынба. Скажи перхоти Венедиктов, у Вас что-то белое на плечах."
-_Cw5A9gBiM,Политические,Венедиктов - проект кремля. Зачем тащить его в Будущее?
-_Cw5A9gBiM,Политические,1540 Венидиктов называет Ельцина Владимиром и это никого не смущает.
-_Cw5A9gBiM,Политические,про БЕЛАРУСЬ СНИМИ.
-_Cw5A9gBiM,Политические,"надеюсь, что Соболь сделает уроки из этого интервью. Видно, что у нее слабое понимание предмета по сравнению с гостями. Без негатива, естественно. Просто думаю, что ей бы пригодились знания в этой области."
-_Cw5A9gBiM,Политические,Какое понимание может быть у тупицы.
-_Cw5A9gBiM,Политические,"Что у таракана, что у обнуленного, никакой фантазии. А презервативы нафига взяли. Чтобы от Лукаша не заразиться. давыдька а МОЖА ЭТА СУТЕНЕРЫ? ВОЗМОЖНО ПРИЕХАЛИ ВЕРБОВАТЬ машку васи левич?"
-_Cw5A9gBiM,Политические,"Частное телевидение тоже зло. Говорят, что не должно быть олигархов, которые на сдачу от основной деятельности содержат телеканал. А кто будет? Средний бизнес?. В любом случае интересны большинства людей, у которых нет денег на собственный телеканал, не будут представлены. Сейчас государство впаривает, а потом новые Усмановы."
-_Cw5A9gBiM,Политические,"Пусть лучше цензура, чем дестабилизирующе-сепаратистский лево-либеральный популизм."
-_Cw5A9gBiM,Политические,"Есть в телевизоре, нет в жизни. Есть в жизни, нет в телевизоре. Вот так и живем в параллельных мирах."
-_Cw5A9gBiM,Политические,Диз. Либералы. Вы не лучше!
-_Cw5A9gBiM,Политические,"Кто то просто работает , а кто то просто пи. болит."
-_Cw5A9gBiM,Политические,Дудь пойдет куда угодно если ему хороших денег предложить.
-_Cw5A9gBiM,Политические,"А по моему, давно уже пора валить! Все мечтаем и мечтаем а ТОЛКУ - НЕТ."
-_Cw5A9gBiM,Политические,"Во как! Каналы должны быть частными , и принадлежать вероятно по мнению этой курицы должны принадлежать таким РУСОлюбвеобильным существам , как Венедиктов. Это. здец. Это поеденное молью чудо в пору гнать до какой ни будь ближайшей границы. но власть проявляет невиданную толерантность к этим Европроституткам , употребляющих в лексиконе слова наша страна. Этот сброд забыл , что у них нет страны и Родины."
-_Cw5A9gBiM,Политические,Наконец-то нормальный инфо. проект от Любови! Не то что этот по фактам.
-_Cw5A9gBiM,Политические,Как говорит Екатерина ШульманОбщественное доверие сейчас как колобок - ото всех укатилось и ни к кому не прикатилось. Так бесконечно продолжаться не может.
